0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000
0.0000	0.0955	0.1910	0.2865	0.3820	0.4776	0.5732	0.6688	0.7645	0.8604	0.9566	1.0530	1.1498	1.2472	1.3453	1.4443	1.5444	1.6458	1.7489	1.8541	1.9616	2.0721	2.1862	2.3043	2.4275	2.5566	2.6927	2.8372	2.9915	3.1577	3.3379	3.5348	3.7520	3.9935	4.2648	4.5725	4.9255	5.3357	5.8189	6.3975	7.1037	7.9856	9.1186	10.6274	12.7337	15.8669	20.9522	30.2437	50.0045	100.0000
0.0000	0.1910	0.3820	0.5730	0.7641	0.9551	1.1462	1.3375	1.5289	1.7206	1.9128	2.1056	2.2991	2.4938	2.6898	2.8875	3.0874	3.2900	3.4959	3.7057	3.9204	4.1408	4.3681	4.6037	4.8491	5.1062	5.3771	5.6645	5.9713	6.3013	6.6589	7.0495	7.4796	7.9574	8.4930	9.0996	9.7940	10.5983	11.5424	12.6675	14.0318	15.7202	17.8614	20.6573	24.4405	29.7817	37.6982	50.0182	69.7744	100.0000
0.0000	0.2865	0.5730	0.8596	1.1461	1.4326	1.7192	2.0060	2.2930	2.5804	2.8685	3.1573	3.4474	3.7390	4.0325	4.3286	4.6278	4.9309	5.2388	5.5525	5.8733	6.2025	6.5418	6.8933	7.2591	7.6419	8.0451	8.4723	8.9279	9.4174	9.9471	10.5246	11.1595	11.8633	12.6504	13.5390	14.5525	15.7211	17.0850	18.6983	20.6357	23.0022	25.9493	29.7001	34.5892	41.1211	50.0409	62.3563	79.0750	100.0000
0.0000	0.3820	0.7641	1.1461	1.5280	1.9100	2.2920	2.6742	3.0567	3.4396	3.8233	4.2080	4.5941	4.9822	5.3727	5.7665	6.1643	6.5670	6.9760	7.3923	7.8178	8.2541	8.7035	9.1684	9.6519	10.1574	10.6890	11.2516	11.8507	12.4933	13.1873	13.9424	14.7705	15.6859	16.7062	17.8536	19.1558	20.6486	22.3781	24.4051	26.8104	29.7035	33.2334	37.6045	43.0950	50.0727	58.9880	70.2910	84.1694	100.0000
0.0000	0.4776	0.9551	1.4326	1.9100	2.3873	2.8647	3.3421	3.8199	4.2980	4.7770	5.2571	5.7389	6.2229	6.7097	7.2004	7.6957	8.1970	8.7056	9.2231	9.7514	10.2927	10.8496	11.4251	12.0228	12.6468	13.3020	13.9942	14.7301	15.5176	16.3663	17.2873	18.2943	19.4036	20.6350	22.0132	23.5686	25.3394	27.3738	29.7334	32.4975	35.7680	39.6764	44.3896	50.1137	57.0868	65.5472	75.6504	87.3117	100.0000
0.0000	0.5732	1.1462	1.7192	2.2920	2.8647	3.4373	4.0098	4.5826	5.1557	5.7296	6.3047	6.8815	7.4606	8.0430	8.6295	9.2213	9.8197	10.4264	11.0431	11.6720	12.3156	12.9770	13.6595	14.3673	15.1050	15.8781	16.6932	17.5578	18.4809	19.4730	20.5463	21.7158	22.9990	24.4171	25.9957	27.7661	29.7665	32.0442	34.6573	37.6780	41.1947	45.3146	50.1638	55.8833	62.6137	70.4635	79.4517	89.4271	100.0000
0.0000	0.6688	1.3375	2.0060	2.6742	3.3421	4.0098	4.6774	5.3449	6.0126	6.6810	7.3505	8.0217	8.6952	9.3721	10.0533	10.7402	11.4342	12.1370	12.8508	13.5778	14.3209	15.0833	15.8688	16.6818	17.5276	18.4122	19.3427	20.3271	21.3753	22.4983	23.7092	25.0236	26.4595	28.0386	29.7864	31.7335	33.9164	36.3791	39.1738	42.3626	46.0182	50.2233	55.0679	60.6420	67.0211	74.2415	82.2657	90.9449	100.0000
0.0000	0.7645	1.5289	2.2930	3.0567	3.8199	4.5826	5.3449	6.1069	6.8690	7.6314	8.3947	9.1595	9.9265	10.6968	11.4716	12.2520	13.0398	13.8368	14.6453	15.4676	16.3068	17.1664	18.0505	18.9637	19.9116	20.9005	21.9380	23.0328	24.1948	25.4356	26.7687	28.2098	29.7770	31.4914	33.3778	35.4650	37.7866	40.3819	43.2961	46.5804	50.2922	54.4925	59.2424	64.5957	70.5871	77.2156	84.4248	92.0868	100.0000
0.0000	0.8604	1.7206	2.5804	3.4396	4.2980	5.1557	6.0126	6.8690	7.7249	8.5809	9.4373	10.2949	11.1546	12.0172	12.8840	13.7565	14.6363	15.5253	16.4258	17.3405	18.2724	19.2252	20.2030	21.2109	22.2544	23.3403	24.4762	25.6712	26.9354	28.2806	29.7203	31.2699	32.9471	34.7723	36.7684	38.9620	41.3832	44.0660	47.0481	50.3708	54.0776	58.2121	62.8136	67.9114	73.5161	79.6089	86.1311	92.9776	100.0000
0.0000	0.9566	1.9128	2.8685	3.8233	4.7770	5.7296	6.6810	7.6314	8.5809	9.5298	10.4788	11.4285	12.3796	13.3333	14.2909	15.2537	16.2234	17.2022	18.1922	19.1961	20.2171	21.2589	22.3256	23.4223	24.5548	25.7299	26.9554	28.2404	29.5950	31.0311	32.5619	34.2024	35.9695	37.8821	39.9615	42.2315	44.7183	47.4507	50.4595	53.7771	57.4355	61.4646	65.8884	70.7202	75.9571	81.5728	87.5130	93.6926	100.0000
0.0000	1.0530	2.1056	3.1573	4.2080	5.2571	6.3047	7.3505	8.3947	9.4373	10.4788	11.5196	12.5604	13.6021	14.6457	15.6925	16.7439	17.8016	18.8678	19.9446	21.0347	22.1411	23.2676	24.4182	25.5980	26.8127	28.0692	29.3752	30.7398	32.1732	33.6869	35.2938	37.0083	38.8462	40.8251	42.9641	45.2841	47.8078	50.5589	53.5623	56.8425	60.4226	64.3224	68.5551	73.1241	78.0191	83.2123	88.6555	94.2799	100.0000
0.0000	1.1498	2.2991	3.4474	4.5941	5.7389	6.8815	8.0217	9.1595	10.2949	11.4285	12.5604	13.6916	14.8227	15.9549	17.0894	18.2277	19.3715	20.5228	21.6837	22.8568	24.0452	25.2521	26.4817	27.7387	29.0289	30.3588	31.7364	33.1705	34.6711	36.2495	37.9182	39.6908	41.5820	43.6079	45.7856	48.1332	50.6698	53.4150	56.3882	59.6079	63.0902	66.8474	70.8854	75.2019	79.7831	84.6018	89.6166	94.7716	100.0000
0.0000	1.2472	2.4938	3.7390	4.9822	6.2229	7.4606	8.6952	9.9265	11.1546	12.3796	13.6021	14.8227	16.0422	17.2617	18.4825	19.7060	20.9339	22.1681	23.4106	24.6639	25.9306	27.2139	28.5177	29.8463	31.2052	32.6009	34.0411	35.5345	37.0911	38.7219	40.4388	42.2547	44.1832	46.2390	48.4371	50.7932	53.3232	56.0430	58.9677	62.1107	65.4829	69.0914	72.9374	77.0150	81.3094	85.7954	90.4374	95.1900	100.0000
